! numero totale di parametri presenti nel file
23
! numero totale delle stazioni presenti nel file
75
! Tabella analizzatori (codici di corrispondenza tra stazioni <--> inquinanti)
! analizzatore non presente ---> -1
! Il campo "attiva" seleziona le stazioni operative (0 non esistente , 1 operativa)
CodiceProvincia      NomeStazione      CodiceStazione   attiva   NO2   NOX   NO   PM10   PM2.5   O3   CO   BENZENE   SO2   PIOGGIA   RADG   VV   DV   TEMP   UMR   RADN   PRESS   EBENZENE   TOLUENE   M-XYLENE   O-XYLENE   P-XYLENE   MP-XYLENE 
     03              GaetaPorto              61            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     03              LT-DeChirico            63            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     03              LT-Scalo                51            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     03              Cisterna                34            0      01    01   01    -1      -1    01   -1      -1      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              FR-Meteo                24            0      -1    -1   -1    -1      -1    -1   -1      -1      -1      01      01    01   01    01     01    01      01       -1        -1        -1          -1         -1          -1
     02              Patrica                 25            0      01    01   01    -1      -1    -1   01      -1      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              Frosinone               26            0      01    01   01    01      -1    -1   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              Ceccano                 27            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              Ferentino               28            1      01    01   01    01      01    01   01      01      01      01      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              Anagni                  29            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              Alatri                  35            1      01    01   01    01      01    01   01      01      01      01      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              Fontechiari             36            1      01    01   01    01      01    01   01      01      01      01      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              Cassino                 52            1      01    01   01    01      01    01   01      01      01      01      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
